harvest_delay_hours,storage_temp_c,humidity_percent,ripeness_score,ffa_percentage
55.72,41.58,78.22,2,3.822
31.6,36.88,64.75,0,1.564
61.82,29.9,82.77,1,2.669
50.21,39.91,66.26,0,2.312
6.78,26.69,62.44,0,0.464
70.24,40.49,79.95,1,3.493
54.8,36.8,86.21,0,2.362
56.6,27.22,94.17,1,2.611
9.22,26.59,91.31,1,1.346
32.43,40.02,94.29,0,2.392
26.7,30.86,90.4,1,2.282
66.73,42.79,88.13,1,3.637
46.36,40.24,60.41,2,3.055
59.24,38.96,85.04,0,2.934
31.93,30.57,64.82,3,3.293
16.36,39.18,62.35,2,2.536
39.93,43.96,66.26,1,2.987
4.59,26.83,92.93,1,1.413
59.59,31.52,89.75,1,3.092
45.48,29.69,97.95,2,3.51
54.58,32.87,99.16,1,3.07
25.53,39.85,95.73,3,4.564
69.89,34.48,65.32,2,3.672
64.3,36.41,95.14,1,3.469
56.04,31.28,93.55,1,2.917
14.01,27.83,94.84,1,1.271
33.6,30.34,66.07,2,2.464
3.15,42.19,64.67,2,1.853
11.11,37.05,96.95,0,1.651
49.18,32.56,66.95,0,2.115
53.62,40.8,74.74,1,2.737
69.66,26.29,78.24,2,3.36
23.46,30.08,64.98,1,1.493
26.67,29.6,60.83,2,2.147
33.81,44.71,99.76,1,3.183
13.64,39.12,95.07,0,2.269
9.35,37.36,96.49,2,2.742
34.25,25.1,71.38,1,1.707
16.34,28.69,68.8,1,1.066
48.23,37.71,77.03,0,2.465
31.47,32.59,78.13,0,2.017
59.95,43.49,60.22,0,2.919
50.42,40.29,91.17,1,3.1
22.49,33.95,99.87,1,2.183
59.92,39.99,81.15,1,3.043
57.94,44.51,75.53,0,2.937
27.9,34.22,75.71,0,1.511
20.76,37.85,63.84,1,1.705
49.14,43.37,70.65,3,4.547
10.06,29.97,80.09,1,1.215
14.39,42.73,77.27,0,1.866
0.53,26.95,81.8,1,0.961
56.66,37.97,93.96,2,4.162
47.87,40.66,69.01,2,3.183
50.77,37.29,61.11,2,2.987
56.21,34.91,61.53,2,2.98
33.04,37.35,65.37,1,1.846
40.95,28.03,82.82,3,3.812
10.07,29.31,92.33,0,1.299
8.25,30.4,95.47,2,2.244
48.13,36.96,85.4,2,3.722
33.92,33.84,76.13,2,2.999
40.7,29.89,66.18,1,1.631
55.08,42.66,76.06,2,3.869
45.7,32.48,73.3,0,2.135
39.86,33.92,94.8,1,2.549
40.26,33.19,79.47,1,2.363
21.88,28.64,69.05,1,1.117
2.22,39.63,71.55,1,1.728
31.44,33.97,65.46,1,1.951
15.45,25.33,96.74,0,1.198
29.41,44.28,62.01,1,2.109
61.45,41.32,60.51,1,2.583
16.84,39.47,67.32,1,1.7
4.2,42.38,92.43,1,2.123
20.26,43.14,80.94,0,1.919
21.14,31.75,85.03,2,2.617
47.66,37.22,74.31,1,2.826
40.11,37.18,62.75,0,1.98
56.44,30.35,94.25,1,2.759
47.83,29.44,67.68,1,2.194
29.26,27.28,61.32,1,1.431
58.61,38.19,82.91,0,2.734
12.02,40.62,63.33,0,1.301
1.64,40.22,63.83,0,1.085
6.48,31.33,92.02,0,1.386
52.01,29.11,79.66,0,2.203
33.26,34.07,69.66,2,2.665
11.61,35.94,73.95,1,1.314
36.08,43.38,89.17,1,3.132
10.97,42.5,62.65,1,1.666
50.14,43.32,64.66,1,3.212
32.12,42.01,84.65,0,2.433
27.43,44.29,84.28,0,2.562
21.71,34.31,98.9,0,2.577
45.38,25.95,74.98,1,2.047
26.05,26.67,62.6,1,1.332
